order_city,order_state,order_zipcode,order_region,order_country,market,location_id
Bekasi,Java Occidental,,Southeast Asia,Indonesia,Pacific Asia,1
Bikaner,Rajastán,,South Asia,India,Pacific Asia,2
Townsville,Queensland,,Oceania,Australia,Pacific Asia,3
Toowoomba,Queensland,,Oceania,Australia,Pacific Asia,4
Guangzhou,Guangdong,,Eastern Asia,China,Pacific Asia,5
Tokio,Tokio,,Eastern Asia,Japan,Pacific Asia,6
Manado,Célebes Septentrional,,Southeast Asia,Indonesia,Pacific Asia,7
Sangli,Maharashtra,,South Asia,India,Pacific Asia,8
Seúl,Seúl,,Eastern Asia,South Korea,Pacific Asia,9
Jabalpur,Madhya Pradesh,,South Asia,India,Pacific Asia,10
Geelong,Victoria,,Oceania,Australia,Pacific Asia,11
Brisbane,Queensland,,Oceania,Australia,Pacific Asia,12
Mandurah,Australia Occidental,,Oceania,Australia,Pacific Asia,13
Guilin,Guangxi,,Eastern Asia,China,Pacific Asia,14
Delhi,Delhi,,South Asia,India,Pacific Asia,15
Suzhou,Gansu,,Eastern Asia,China,Pacific Asia,16
Singapur,Singapur,,Southeast Asia,Singapore,Pacific Asia,17
Hubli,Karnataka,,South Asia,India,Pacific Asia,18
Wollongong,Nueva Gales del Sur,,Oceania,Australia,Pacific Asia,19
Medan,Sumatra Septentrional,,Southeast Asia,Indonesia,Pacific Asia,20
Canberra,Territorio de la Capital Australiana,,Oceania,Australia,Pacific Asia,21
Bangalore,Karnataka,,South Asia,India,Pacific Asia,22
Yiwu,Zhejiang,,Eastern Asia,China,Pacific Asia,23
Mirzapur,Uttar Pradesh,,South Asia,India,Pacific Asia,24
Bursa,Bursa,,West Asia,Turkey,Pacific Asia,25
Murray Bridge,Australia del Sur,,Oceania,Australia,Pacific Asia,26
Kartal,Estambul,,West Asia,Turkey,Pacific Asia,27
Ulan Bator,Ulán Bator,,Eastern Asia,Mongolia,Pacific Asia,28
Estambul,Estambul,,West Asia,Turkey,Pacific Asia,29
Raipur,Rajastán,,South Asia,India,Pacific Asia,30
Pasco,Washington,99301,West of USA,United States,North America,31
Los Angeles,California,90049,West of USA,United States,North America,32
San Francisco,California,94110,West of USA,United States,North America,33
Overland Park,Kansas,66212,US Center,United States,North America,34
Ugep,Cross River,,West Africa,Nigeria,Africa,35
Kinshasa,Kinshasa,,Central Africa,Democratic Republic of the Congo,Africa,36
Dakar,Dakar,,West Africa,Senegal,Africa,37
Casablanca,Gran Casablanca,,North Africa,Morocco,Africa,38
Dortmund,Renania del Norte-Westfalia,,Western Europe,Germany,Europe,39
Drancy,Isla de Francia,,Western Europe,France,Europe,40
Nantes,Países del Loira,,Western Europe,France,Europe,41
Groningen,Groningen,,Western Europe,Netherlands,Europe,42
Gateshead,Inglaterra,,Northern Europe,United Kingdom,Europe,43
Eastbourne,Inglaterra,,Northern Europe,United Kingdom,Europe,44
Hayange,Alsacia-Champaña-Ardenas-Lorena,,Western Europe,France,Europe,45
Portsmouth,Inglaterra,,Northern Europe,United Kingdom,Europe,46
Gelsenkirchen,Renania del Norte-Westfalia,,Western Europe,Germany,Europe,47
Nice,Provenza-Alpes-Costa Azul,,Western Europe,France,Europe,48
Petapa,Guatemala,,Central America,Guatemala,Latin America,49
Mejicanos,San Salvador,,Central America,El Salvador,Latin America,50
David,Chiriquí,,Central America,Panama,Latin America,51
Santo Domingo,Santo Domingo,,Caribbean,Dominican Republic,Latin America,52
Cabimas,Zulia,,South America,Venezuela,Latin America,53
Dos Quebradas,Risaralda,,South America,Colombia,Latin America,54
Ilopango,San Salvador,,Central America,El Salvador,Latin America,55
Tegucigalpa,Francisco Morazán,,Central America,Honduras,Latin America,56
Juazeiro,Bahía,,South America,Brazil,Latin America,57
Mexico City,Distrito Federal,,Central America,Mexico,Latin America,58
Tlaquepaque,Jalisco,,Central America,Mexico,Latin America,59
Puebla,Puebla,,Central America,Mexico,Latin America,60
